regime,bin,feature,pooled_ic,mean_ts_ic,rows
btc_rvol_24h,low,residual_24h,-0.028832782231134856,-0.08119393029096378,28545
btc_rvol_24h,low,ret_12h,-0.027355962306936946,-0.08873569973809774,28545
btc_rvol_24h,low,residual_12h,-0.027994554953177805,-0.08941202831756294,28545
btc_rvol_24h,low,ret_48h,-0.03864632273062158,-0.11392340838366315,28545
btc_rvol_24h,low,pct_coins_up_12h,,,28545
btc_rvol_24h,low,pct_coins_up_1h,,,28545
btc_rvol_24h,low,hour_sin,,,28545
btc_rvol_24h,low,hour_cos,,,28545
btc_rvol_24h,low,dow_sin,,,28545
btc_rvol_24h,low,dow_cos,,,28545
btc_rvol_24h,mid,iv_rv_spread,0.03918832564945031,0.09151081809855015,28512
btc_rvol_24h,mid,dist_from_high_24h,0.008037637528961238,0.030371910096006153,28512
btc_rvol_24h,mid,ls_divergence,0.01118455687593727,0.017365882544966935,28512
btc_rvol_24h,mid,oi_chg_24h,0.0025477664145934584,-0.0009200216911784358,28512
btc_rvol_24h,mid,oi_chg_12h,-0.007564218907854575,-0.0132704634587755,28512
btc_rvol_24h,mid,taker_cvd_12h,-0.005527480255962831,-0.015558374581658643,28512
btc_rvol_24h,mid,oi_zscore,-0.004658253755131062,-0.01614228862081563,28512
btc_rvol_24h,mid,taker_cvd_24h,-0.00866790565259092,-0.019261971355381848,28512
btc_rvol_24h,mid,cum_funding_24h,-0.013175770045503233,-0.023829423193988626,28512
btc_rvol_24h,mid,ret_24h,-0.0028957074865410067,-0.02904730820044432,28512
btc_rvol_24h,mid,mom_z_24h,-0.0032641970452854914,-0.03176163579802022,28512
btc_rvol_24h,mid,residual_24h,-0.00581142123374806,-0.03543847379990949,28512
btc_rvol_24h,mid,ret_12h,-0.01295188172665212,-0.0355989171235573,28512
btc_rvol_24h,mid,rel_volume_cs,-0.020572267124893264,-0.04007759594640269,28512
btc_rvol_24h,mid,ret_skew_168h,-0.013815263022494247,-0.04321491949654438,28512
btc_rvol_24h,mid,residual_12h,-0.018229522019549162,-0.05181154437101475,28512
btc_rvol_24h,mid,ret_168h,-0.01407961594054401,-0.05532554694282427,28512
btc_rvol_24h,mid,gk_vol_24h,-0.03791530026838788,-0.08731983261188431,28512
btc_rvol_24h,mid,ret_48h,-0.03398091917703759,-0.09092046276718008,28512
btc_rvol_24h,mid,rvol_24h,-0.03918832564945031,-0.09151081809855015,28512
btc_rvol_24h,mid,atr_14,-0.041859159260922665,-0.09680355813813658,28512
btc_rvol_24h,mid,rvol_12h,-0.03946826155569533,-0.10014876728307154,28512
btc_rvol_24h,mid,pct_coins_up_12h,,,28512
btc_rvol_24h,mid,pct_coins_up_1h,,,28512
btc_rvol_24h,mid,hour_sin,,,28512
btc_rvol_24h,mid,hour_cos,,,28512
btc_rvol_24h,mid,dow_sin,,,28512
btc_rvol_24h,mid,dow_cos,,,28512
dispersion_12h,high,iv_rv_spread,0.027656037739800788,0.0833165881029722,28512
dispersion_12h,high,dist_from_high_24h,0.00804099948621794,0.03131259048160921,28512
dispersion_12h,high,ls_divergence,-0.0067204859880089386,-0.011071897309097908,28512
dispersion_12h,high,mom_z_24h,0.005751923198628728,-0.013770509654152776,28512
dispersion_12h,high,oi_chg_24h,-0.00025541907994824686,-0.014208275557927705,28512
dispersion_12h,high,residual_24h,0.0015611689835113628,-0.02037854971047775,28512
dispersion_12h,high,ret_24h,0.0024770596581351898,-0.021731135349775044,28512
dispersion_12h,high,rel_volume_cs,-0.014856233200708403,-0.026603945909772667,28512
dispersion_12h,high,oi_chg_12h,-0.009806206568227204,-0.026866104957117307,28512
