window,horizon,feature,mean_ic,t_stat,n_weeks,abs_ic
W1,24,mom_z_24h,-0.0810102798147956,-2.6117626420920987,25,0.0810102798147956
W1,24,range_24h,0.01139261307035351,0.5785967774111553,25,0.01139261307035351
W1,24,dist_from_high_24h,0.0735730743946814,2.3921831867830026,25,0.0735730743946814
W1,24,btc_ret_1h,-0.04081321914063873,-3.0880305108060067,25,0.04081321914063873
W1,24,btc_ret_4h,-0.06920301394781456,-2.571201561736792,25,0.06920301394781456
W1,24,btc_ret_12h,-0.10223354753375975,-3.231799025599882,25,0.10223354753375975
W1,24,btc_ret_24h,-0.1334474338036273,-3.0635294834012123,25,0.1334474338036273
W1,24,btc_beta_168h,0.03956204417752223,1.8981435263319846,25,0.03956204417752223
W1,24,residual_12h,0.0032319641916858433,0.11624692397094899,25,0.0032319641916858433
W1,24,residual_24h,0.011991313748857315,0.3462236688682853,25,0.011991313748857315
W1,24,funding_rate_binance,-0.08337851933495882,-3.8322668744027664,25,0.08337851933495882
W1,24,cum_funding_24h,-0.10478953605683307,-3.8118450655092357,25,0.10478953605683307
W1,24,cum_funding_72h,-0.09338078102958539,-3.665622749748825,25,0.09338078102958539
W1,24,cum_funding_168h,-0.07766028085877355,-2.995713281134606,25,0.07766028085877355
W1,24,funding_zscore,-0.02978693580734941,-1.1693993220942098,25,0.02978693580734941
W1,24,funding_x_mom_12h,-0.018951878429394012,-0.7472073359719239,25,0.018951878429394012
W1,24,funding_x_mom_24h,-0.010884150813030086,-0.4220072553356858,25,0.010884150813030086
W1,24,oi_value_usd,-0.01933650382288092,-0.9457055049123113,25,0.01933650382288092
W1,24,taker_buy_sell_ratio,-0.028533258959245168,-2.580825523971884,25,0.028533258959245168
W1,24,top_ls_ratio,-0.04139020253404563,-2.627587902347031,25,0.04139020253404563
W1,24,global_ls_ratio,0.01697843912499307,0.9275154269800027,25,0.01697843912499307
W1,24,oi_chg_1h,-0.030819012839968067,-2.6994189429480704,25,0.030819012839968067
W1,24,oi_chg_4h,-0.05884086319625439,-2.7501274893117356,25,0.05884086319625439
W1,24,oi_chg_12h,-0.06944662270090518,-2.9069687955809984,25,0.06944662270090518
W1,24,oi_chg_24h,-0.07451841384791769,-2.501454952763479,25,0.07451841384791769
W1,24,oi_zscore,-0.15046824011015042,-4.318345695603416,25,0.15046824011015042
